cveID,vendorProject
CVE-2021-27104,Accellion
CVE-2021-27102,Accellion
CVE-2021-27101,Accellion
CVE-2021-27103,Accellion
CVE-2021-21017,Adobe
CVE-2021-28550,Adobe
CVE-2018-4939,Adobe
CVE-2018-15961,Adobe
CVE-2018-4878,Adobe
